URN_key,storage,database,table,field_path,nullable,primaryKeys,recursive,tags,nativeDataType,description,lineage_key_1,lineage_key_2,lineage_key_3,lineage_key_4,lineage_key_5,back
oracle@bidleader.sold_transaction@trans_status,oracle,bidleader,sold_transaction,trans_status,FALSE,FALSE,FALSE,,string,"結帳狀態: 0 =結帳單產生(買家:已結帳,賣家:待確認),1=賣家待出貨(確認入帳), 2=賣家已出貨, 4=交易完成, 8=申訴狀態, 9=結帳單取消",,,,,,
oracle@bidleader.sold_transaction@trans_cancelflag,oracle,bidleader,sold_transaction,trans_cancelflag,FALSE,FALSE,FALSE,,string,"取消結帳單(n正常,s賣家提出,b買家提出,y同意取消,o拒絕), y時,sold_record.transaction_no清空",,,,,,
oracle@bidleader.sold_transaction@pay_status,oracle,bidleader,sold_transaction,pay_status,FALSE,FALSE,FALSE,,string,"露天es付款狀態: 0=預設(非代收), 1=待buyer付款(先付款類型), 2=貨到付款等(後付款類型), 3=已付款(代收成功)(資料), 4=露天收款確認(錢), 5=暫停一次, 6=暫停二次, 7=待(系統)退款, 8=退款處理中, 9=已退款, a=退款失敗, b=付款失敗(atm逾期等)",,,,,,
oracle@bidleader.sold_transaction@insert_time,oracle,bidleader,sold_transaction,insert_time,FALSE,FALSE,FALSE,,date,新增時間,,,,,,
oracle@bidleader.sold_transaction@update_time,oracle,bidleader,sold_transaction,update_time,FALSE,FALSE,FALSE,,date,更新時間,,,,,,
oracle@bidleader.sold_transaction@buyer_pay_time,oracle,bidleader,sold_transaction,buyer_pay_time,FALSE,FALSE,FALSE,,date,,,,,,,
oracle@bidleader.sold_transaction@amount_type,oracle,bidleader,sold_transaction,amount_type,FALSE,FALSE,FALSE,,string,金額產出方式('1'=系統自動計算、'2'=買家手動輸入、'3'=出貨通知、'4'=付款通知),,,,,,
oracle@bidleader.sold_record_cancel@cancel_time,oracle,bidleader,sold_record_cancel,cancel_time,FALSE,FALSE,FALSE,,date,交易取消時間,,,,,,
oracle@bidleader.rpoint_trans_record@points,oracle,bidleader,rpoint_trans_record,points,FALSE,FALSE,FALSE,,number,,,,,,,
oracle@bidleader.coupon_used@discount_amount,oracle,bidleader,coupon_used,discount_amount,FALSE,FALSE,FALSE,,number,,,,,,,
